Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
l5,0.00377646730007429,-5.91795026710917E-05,-0.120093739562266,0,0,0,0.27998509383312,0.00314922498852536,-9.31108341586273E-07,-1.15168042419474E-05,0.00320411217151625,-1.23290146095289E-06,0.000152971489618383,0,0,0,0,0,0,package://shuangzu/meshes/l5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://shuangzu/meshes/l5.STL,,zuotui5^shuangzu-1,zuotui5sys,zuotui5axis,l5,continuous,0,0,-0.36,0,0,0,l4,0,1,0,,,,,,,,,,,,
l6,1.74801562113913E-11,4.38039049477368E-11,-1.45439216225896E-14,0,0,0,0.0104330646053872,6.62625590241048E-07,-2.14872757193854E-18,-7.47956186920593E-15,5.71110779837935E-07,3.38380983434854E-15,5.43895457465483E-07,0,0,0,0,0,0,package://shuangzu/meshes/l6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://shuangzu/meshes/l6.STL,,zuotui6^shuangzu-1,zuotui6sys,zuotui6axis,l6,continuous,0,0,-0.34,0,0,0,l5,0,1,0,,,,,,,,,,,,
l7,0.0184463901122054,-1.03759345823629E-07,-0.0277803799872306,0,0,0,0.165596216808305,4.94257801002141E-05,1.40978954394495E-09,1.4493563684353E-05,0.000565536359670249,-1.0786647427788E-11,0.000607822807530194,0,0,0,0,0,0,package://shuangzu/meshes/l7.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://shuangzu/meshes/l7.STL,,zuotui7^shuangzu-1,zuotui7sys,zuotui7axis,l7,continuous,0,0,0,0,0,0,l6,-1,0,0,,,,,,,,,,,,
y3,-0.0103877446698924,-0.00169482197607244,0.0224711261747824,0,0,0,0.378859790655217,0.000196920333823698,2.29947056309008E-08,2.57003820340561E-05,0.000354992150619213,2.18439060604652E-09,0.000383675293756589,0,0,0,0,0,0,package://shuangzu/meshes/y3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://shuangzu/meshes/y3.STL,,yao11-1,yao1sys,yao1axis,y3,continuous,0,0,0.0065,0,0,0,base,0,0,-1,,,,,,,,,,,,
y2,0.000730865220471333,0.0389221533986648,0.0424741532376085,0,0,0,1.06651411745802,0.00170920844338619,-9.53936587261625E-07,-2.29683399245105E-05,0.00170920852243051,-2.23190251568011E-05,0.000949230263322979,0,0,0,0,0,0,package://shuangzu/meshes/y2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://shuangzu/meshes/y2.STL,,yao12-1,yao2sys,yao2axis,y2,continuous,0,-0.03965,0.055,0,0,0,y3,0,-1,0,,,,,,,,,,,,
y1,-0.0358842798404646,2.52681029520771E-08,0.0322002054998561,0,0,0,0.317200265167752,0.000288353987458461,-3.09183741753181E-10,-4.90364232482033E-06,0.000147643553339569,-5.49370727313507E-11,0.000291747962104004,0,0,0,0,0,0,package://shuangzu/meshes/y1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://shuangzu/meshes/y1.STL,,yao13-1,yao3sys,yao3axis,y1,continuous,0.03965,0.03965,0.085,0,0,0,y2,1,0,0,,,,,,,,,,,,
b1,7.92691282817948E-06,-3.04447919602459E-06,-0.0257869523817592,0,0,0,1.24876667380925,0.00702829365638695,-1.06002865290744E-08,2.79573307448755E-07,0.0046476770681902,4.71755575162991E-08,0.00260507642530545,0,0,0,0,0,0,package://shuangzu/meshes/b1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://shuangzu/meshes/b1.STL,,tou1^shuangzu-1,tou1sys,tou1axis,b1,fixed,-0.0396499999999999,0,0.19760320787506,0,0,0,y1,1,0,0,,,,,,,,,,,,
t2,0.00129639745850704,-6.90335275371662E-06,0.0562356571680652,0,0,0,0.0717307740900375,4.73353658590804E-05,-5.91807559535377E-09,-6.33450971236837E-06,5.07364008060536E-05,-3.00118139374364E-08,2.89261642135794E-05,0,0,0,0,0,0,package://shuangzu/meshes/t2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://shuangzu/meshes/t2.STL,,tou2^shuangzu-1,tou2sys,tou2axis,t2,continuous,0,0,0.146926485797641,0,0,0,b1,1.22100046029846E-05,6.83490816100197E-05,-0.99999999758966,,,,,,,,,,,,
t3,0.0208602830188793,0.00299722647652911,-0.00194684636830333,0,0,0,0.0189573884547462,3.07261030820476E-06,4.10292482212116E-08,1.78312348194346E-08,5.66077119750909E-06,-1.51705009052139E-08,3.71878352775285E-06,0,0,0,0,0,0,package://shuangzu/meshes/t3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://shuangzu/meshes/t3.STL,,tou3^shuangzu-1,tou3sys,tou3axis,t3,continuous,-0.0214014957239914,0,0.122499738858556,0,0,0,t2,0.999999999925458,0,1.22100046327929E-05,,,,,,,,,,,,
t4,-2.31666208813652E-07,0.0210814390130442,0.0189749154507305,0,0,0,0.0106256456570579,7.50496890616553E-06,4.71785743714698E-12,2.45834795724495E-11,3.56996332972273E-06,-3.86661746522974E-07,5.49155423513383E-06,0,0,0,0,0,0,package://shuangzu/meshes/t4.STL,1,1,1,1,0,0,0,0,0,0,package://shuangzu/meshes/t4.STL,,tou4^shuangzu-1,tou4sys,tou4axis,t4,continuous,0.0213999999984297,-0.0229999999638927,0,0,0,0,t3,0,-0.999999997651641,-6.85326001671701E-05,,,,,,,,,,,,
you1,0.0036700922631097,-0.0488666449589421,0.000107998542672794,0,0,0,0.138901030071088,0.000103808867528534,-8.19869640870126E-07,-3.52122869150508E-09,6.52537065207634E-05,-1.92352620841552E-07,7.01898002839871E-05,0,0,0,0,0,0,package://shuangzu/meshes/you1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://shuangzu/meshes/you1.STL,,youbi2^shuangzu-1,youbi2sys,youbi2axis,you1,continuous,0,-0.126623540935121,0.0196556700072115,-0.43633231299858,0,0,b1,0,-1,0,,,,,,,,,,,,
you2,-0.0215284265690647,-0.0790264379260739,0.0329057653204849,0,0,0,0.104284339631169,8.40688944061449E-05,-1.19277410107821E-05,7.00451807574459E-06,6.16020173666546E-05,1.78549570493127E-05,7.03136999299099E-05,0,0,0,0,0,0,package://shuangzu/meshes/you2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://shuangzu/meshes/you2.STL,,youbi3^shuangzu-1,youbi3sys,youbi3axis,you2,continuous,0.0319999999999985,-0.0669999999999986,0,2.00712863979348,0,0,you1,-1,0,0,,,,,,,,,,,,
you3,-0.00121518491646118,-0.0644933341890206,0.000429301912347774,0,0,0,0.0902413045902292,3.60931203883049E-05,-1.60221090907321E-06,2.72605131244845E-07,2.65424167788413E-05,3.71902372003803E-07,4.24331720212063E-05,0,0,0,0,0,0,package://shuangzu/meshes/you3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://shuangzu/meshes/you3.STL,,youbi4^shuangzu-1,youbi4sys,youbi4axis,you3,continuous,-0.0320000000002931,-0.136530330300864,0.0399999999991598,0,0,0,you2,0,-1,0,,,,,,,,,,,,
